	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO	Male Control	Male Control	Male Control	Male Control	Male Control	Male LKO	Male LKO	Male LKO	Male LKO	Male LKO	Female Control	Female Control	Female Control	Female Control	Female Control	Female LKO	Female LKO	Female LKO	Female LKO	Female LKO
ID																																																													
FIBA_569_581		0	3	-3	0	0	0	-1	2	3	4	1	2	0	2	1	-1	0	1	3	5	1	1	0	1	7	0	2	1	3	8	-1	-1	1	1	6	0	1	0	0	3	0	1	-1	-1	0	-1	0	2	1	1	1	1	2	1	4	1	-2	-1	2	2
IKKB_173_185_C179A		-2	-1	1	-2	1	1	1	-3	0	-2	-1	1	-1	0	-2	-1	-1	0	-1	0	0	0	-2	-1	0	0	1	2	-1	3	-2	-1	-1	0	-3	0	-1	-1	-1	0	-1	0	-2	0	-6	-1	-1	-1	-2	-1	0	2	0	0	1	0	-1	1	-2	2
LIPS_944_956		1	4	9	20	31	2	3	5	15	28	-1	4	8	13	27	1	3	4	13	27	1	2	6	12	26	1	2	6	10	19	0	2	7	12	28	0	2	8	13	27	2	6	9	17	38	-1	2	5	13	26	2	4	9	15	32	1	2	6	11	28
MYBB_513_525		-2	0	2	-2	-9	0	0	-2	1	1	0	2	-1	0	0	-1	-2	0	-3	-5	0	1	-3	-3	-6	-1	-2	0	-1	-1	0	-1	-2	-4	1	0	0	1	-3	2	-1	0	-2	-4	-7	-2	-2	-1	-1	-3	0	0	-2	-5	-5	1	-1	-1	-3	-6
PLEK_106_118		10	24	60	119	239	14	30	71	144	291	21	48	119	242	483	19	40	101	204	415	15	29	75	155	305	15	32	77	154	321	15	36	92	186	376	17	36	91	178	363	12	29	67	137	268	14	31	79	154	313	29	56	136	272	565	29	57	151	296	614
RBL2_632_644		-2	0	0	-6	-3	0	0	-2	-2	1	0	1	1	-5	-3	0	1	1	1	-1	0	0	-1	-3	0	0	1	0	-1	7	-1	0	-1	-4	1	0	0	0	-2	-1	-2	0	0	-4	-3	-1	-1	-1	0	-1	-1	-1	1	0	-4	1	-2	0	-4	1
VIGLN_289_301		-1	0	-1	-6	-4	-1	0	-1	-1	-1	0	-1	-2	-1	-5	-1	1	-1	0	1	-1	0	0	-4	-6	0	0	2	-1	0	0	-1	-1	0	-1	-1	0	1	-1	1	-1	1	-2	-3	-5	0	1	-1	2	0	0	0	0	-2	-2	-1	-1	0	-2	-2
GRIK2_708_720		21	44	99	204	406	14	33	80	159	330	18	39	94	196	386	17	34	84	162	350	18	38	102	209	422	15	32	83	169	337	17	41	102	213	424	17	36	87	181	362	17	36	93	186	383	9	25	60	116	238	19	35	90	182	364	15	30	79	160	334
RADI_559_569		0	0	0	2	4	0	0	0	2	4	-1	2	1	1	2	1	0	-1	0	7	0	1	2	3	2	0	0	2	2	-1	-1	0	0	2	3	-1	0	-2	1	4	0	-1	-1	0	-1	0	0	-1	4	1	-2	-1	-1	2	4	0	-1	-1	2	4
ACM1_421_433		0	1	5	9	29	2	2	5	9	26	1	0	4	14	28	-1	1	2	14	29	0	1	3	9	35	-2	0	10	20	36	1	2	7	6	27	0	3	6	13	37	1	1	1	10	14	0	3	2	12	32	0	1	7	13	41	1	1	3	7	33
